"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGet","avgt",1,9,209.758425,56.669126,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGet","avgt",1,9,269.323933,211.615026,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGet","avgt",1,9,209.038171,88.201665,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGet","avgt",1,9,455.261142,313.866912,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGet","avgt",1,9,608.993310,830.489127,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGet","avgt",1,9,296.297050,196.866067,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGet","avgt",1,9,391.493496,455.800218,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGet","avgt",1,9,431.185148,412.606798,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGetOrDefault","avgt",1,9,76.860701,50.918154,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGetOrDefault","avgt",1,9,158.381182,36.311609,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGetOrDefault","avgt",1,9,237.677299,95.177712,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGetOrDefault","avgt",1,9,239.766179,104.772176,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGetOrDefault","avgt",1,9,464.102396,1032.724813,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGetOrDefault","avgt",1,9,1434.971872,1412.214120,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGetOrDefault","avgt",1,9,385.656455,572.512555,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGetOrDefault","avgt",1,9,274.492568,118.908090,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkGetOrDefault","avgt",1,9,524.003121,629.036989,"ns/op",90000
